name,category,producer,region,country
Château Margaux 2015,Red,Château Margaux,Bordeaux,France
Opus One 2018,Red,Opus One Winery,Napa Valley,USA
Cloudy Bay Sauvignon Blanc 2022,White,Cloudy Bay,Marlborough,New Zealand
Dom Pérignon 2012,White,Moët & Chandon,Champagne,France
Whispering Angel 2022,Rose,Château d'Esclans,Provence,France
Tignanello 2018,Red,Antinori,Tuscany,Italy
Penfolds Grange 2018,Red,Penfolds,South Australia,Australia
Veuve Clicquot Brut,White,Veuve Clicquot,Champagne,France
Château d'Yquem 2015,White,Château d'Yquem,Sauternes,France
Caymus Special Selection 2019,Red,Caymus Vineyards,Napa Valley,USA
Sierra Nevada Pale Ale,Beer,Sierra Nevada Brewing Co.,California,USA
Strongbow Original Dry,Cider,Strongbow,Herefordshire,UK
Taylor's Vintage Port 2017,Fortified,Taylor's,Douro Valley,Portugal
Silver Oak Cabernet Sauvignon 2018,Red,Silver Oak,Alexander Valley,USA
Châteauneuf-du-Pape 2019,Red,Château de Beaucastel,Rhône Valley,France
Sancerre 2022,White,Pascal Jolivet,Loire Valley,France
Barolo 2017,Red,Giacomo Conterno,Piedmont,Italy
Rioja Reserva 2017,Red,Marqués de Riscal,Rioja,Spain
Puligny-Montrachet 2019,White,Domaine Leflaive,Burgundy,France
Chablis Grand Cru 2020,White,William Fèvre,Burgundy,France
Malbec Reserva 2020,Red,Catena Zapata,Mendoza,Argentina
Shiraz 2019,Red,Penfolds,Barossa Valley,Australia
Bud Light,Beer,Anheuser-Busch,Missouri,USA
Mikkeller Spontanbasil,Beer,Mikkeller,Copenhagen,Denmark
Heineken,Beer,Heineken,Amsterdam,Netherlands
Guinness Draught,Beer,Guinness,Dublin,Ireland
Angry Orchard Crisp Apple,Cider,Angry Orchard,New York,USA
Thatchers Gold,Cider,Thatchers,Somerset,UK
Kopparberg Mixed Fruit,Cider,Kopparberg,Bergslagen,Sweden
Aspall Dry Cyder,Cider,Aspall,Suffolk,UK
Graham's 20 Year Old Tawny Port,Fortified,Graham's,Douro Valley,Portugal
Sandeman Fine Ruby Port,Fortified,Sandeman,Douro Valley,Portugal
Harvey's Bristol Cream,Fortified,Harvey's,Jerez,Spain
Martini Rosso Vermouth,Fortified,Martini & Rossi,Turin,Italy
Macallan 12 Year,Other,The Macallan Distillery,Speyside,Scotland
Grey Goose Vodka,Other,Grey Goose,Cognac,France
Hendrick's Gin,Other,William Grant & Sons,Girvan,Scotland
Don Julio Reposado,Other,Don Julio,Jalisco,Mexico
Château Lafite Rothschild 2016,Red,Château Lafite Rothschild,Bordeaux,France
Sassicaia 2017,Red,Tenuta San Guido,Tuscany,Italy
Clos des Papes 2018,Red,Clos des Papes,Châteauneuf-du-Pape,France
Ornellaia 2018,Red,Tenuta dell'Ornellaia,Tuscany,Italy
Krug Grande Cuvée,White,Krug,Champagne,France
Louis Roederer Cristal 2014,White,Louis Roederer,Champagne,France
Montrachet Grand Cru 2018,White,Domaine de la Romanée-Conti,Burgundy,France
Château Cos d'Estournel 2015,Red,Château Cos d'Estournel,Bordeaux,France
Château Palmer 2016,Red,Château Palmer,Bordeaux,France
Screaming Eagle Cabernet Sauvignon 2019,Red,Screaming Eagle,Napa Valley,USA
Harlan Estate 2016,Red,Harlan Estate,Napa Valley,USA
Brunello di Montalcino Riserva 2015,Red,Biondi-Santi,Tuscany,Italy
